for the against side to against,for the for side to for,from the against side to for,from the against side to undecided,from the for side to against,from the for side to undecided,from undecided to against,from undecided to for,post-debate-against,post-debate-for,post-debate-undecided,pre-debate-against,pre-debate-for,pre-debate-undecided,undecided to undecided,url,winner,id
19,47,7,0,4,6,4,10,28,65,7,26,57,16,1,https://www.intelligencesquaredus.org/debates/blame-big-pharma-out-control-health-care-costs,for,d20161013
6,63,0,6,3,0,3,16,13,78,9,13,66,22,3,https://www.intelligencesquaredus.org/debates/first-presidential-debate,for,d20160926
11,53,10,5,2,1,3,11,17,75,8,27,56,17,2,https://www.intelligencesquaredus.org/debates/blame-elites-trump-phenomenon,for,d20160913
37,27,21,0,3,0,5,7,45,55,0,58,30,12,0,https://www.intelligencesquaredus.org/debates/climate-change-epa-has-gone-overboard,for,d20160907
34,31,3,3,17,0,10,0,62,34,3,41,48,10,0,https://www.intelligencesquaredus.org/debates/president-has-usurped-constitutional-power-congress,against,d20160608
30,20,2,0,38,0,5,2,73,23,3,32,58,10,3,https://www.intelligencesquaredus.org/debates/hunters-conserve-wildlife,against,d20160504
12,35,0,6,18,6,6,18,35,53,12,18,59,24,0,https://www.intelligencesquaredus.org/debates/eliminate-corporate-subsidies,against,d20160406
17,44,31,0,0,3,1,3,19,79,3,49,47,4,0,https://www.intelligencesquaredus.org/debates/artificial-intelligence-risks-could-outweigh-rewards,for,d20160309
3,61,13,2,1,1,3,15,8,89,3,18,63,18,0,https://www.intelligencesquaredus.org/debates/free-speech-threatened-campus,for,d20160301
32,17,3,0,34,2,8,2,75,22,3,36,53,12,2,https://www.intelligencesquaredus.org/debates/lifespans-are-long-enough,against,d20160203
19,50,15,4,0,2,4,2,23,67,10,38,52,10,4,https://www.intelligencesquaredus.org/debates/us-should-let-100000-syrian-refugees,for,d20160113
10,15,2,0,53,3,12,3,75,20,5,12,71,17,2,https://www.intelligencesquaredus.org/debates/equal-protection-clause-forbids-racial-preferences-state-university-admissions,against,d20151203
54,31,0,0,0,0,8,0,62,31,8,54,31,15,8,https://www.intelligencesquaredus.org/debates/central-banks-can-print-prosperity,against,d20151118
0,46,23,0,0,0,23,0,23,69,8,23,46,31,8,https://www.intelligencesquaredus.org/debates/us-prosecutors-have-too-much-power,for,d20151110
44,4,4,4,27,0,13,2,83,10,6,52,31,17,2,https://www.intelligencesquaredus.org/debates/college-students-should-be-allowed-take-smart-drugs,against,d20151102
17,58,17,0,0,0,0,0,17,75,8,33,58,8,8,https://www.intelligencesquaredus.org/debates/raise-federal-gas-tax-fund-infrastructure,for,d20151027
24,12,0,0,29,6,18,0,71,12,18,24,47,29,12,https://www.intelligencesquaredus.org/debates/china-and-us-are-long-term-enemies,against,d20151014
0,70,26,0,0,0,4,0,4,96,0,26,70,4,0,https://www.intelligencesquaredus.org/debates/courts-not-campuses-should-decide-sexual-assault-cases,for,d20150916
11,56,0,0,11,0,0,22,22,78,0,11,67,22,0,https://www.intelligencesquaredus.org/debates/containment-not-enough-isis-must-be-defeated,for,d20150809
17,50,0,0,0,0,17,17,33,67,0,17,50,33,0,https://www.intelligencesquaredus.org/debates/equal-protection-clause-does-not-require-states-license-same-sex-marriages,for,d20150602
20,60,20,0,0,0,0,0,20,80,0,40,60,0,0,https://www.intelligencesquaredus.org/debates/obamas-iran-deal-good-america,for,d20150526
8,51,26,3,2,0,3,7,13,84,3,38,52,10,0,https://www.intelligencesquaredus.org/debates/smart-technology-making-us-dumb,for,d20150513
3,51,38,0,0,0,0,8,3,97,0,41,51,8,0,https://www.intelligencesquaredus.org/debates/abolish-death-penalty,for,d20150415
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/president-has-exceeded-his-constitutional-authority-waging-war-without-congressional,undecided,d20150331
42,17,0,0,25,0,17,0,83,17,0,42,42,17,0,https://www.intelligencesquaredus.org/debates/us-should-adopt-right-be-forgotten-online,against,d20150311
3,69,14,0,0,0,3,11,6,94,0,17,69,14,0,https://www.intelligencesquaredus.org/debates/liberals-are-stifling-intellectual-diversity-campus,for,d20150224
12,24,6,12,35,0,6,6,53,35,12,29,59,12,0,https://www.intelligencesquaredus.org/debates/declinists-be-damned-bet-america,against,d20150211
11,22,33,0,0,0,0,33,11,89,0,44,22,33,0,https://www.intelligencesquaredus.org/debates/amazon-readers-friend,for,d20150115
3,69,15,1,0,1,0,9,3,94,3,20,70,10,1,https://www.intelligencesquaredus.org/debates/genetically-modify-food,for,d20141203
1,76,16,0,1,0,0,6,2,97,1,17,77,6,1,https://www.intelligencesquaredus.org/debates/legalize-assisted-suicide,for,d20141113
41,27,0,0,27,0,5,0,73,27,0,41,55,5,0,https://www.intelligencesquaredus.org/debates/income-inequality-impairs-american-dream-upward-mobility,against,d20141022
33,0,0,0,11,0,44,0,89,0,11,33,11,56,11,https://www.intelligencesquaredus.org/debates/mass-collection-us-phone-records-violates-fourth-amendment,against,d20141007
25,75,0,0,0,0,0,0,25,75,0,25,75,0,0,https://www.intelligencesquaredus.org/debates/flexing-americas-muscles-middle-east-will-make-things-worse,undecided,d20140930
15,23,46,0,0,0,0,8,15,77,8,62,23,15,8,https://www.intelligencesquaredus.org/debates/embrace-common-core,for,d20140909
63,13,0,0,0,0,0,25,63,38,0,63,13,25,0,https://www.intelligencesquaredus.org/debates/individuals-and-organizations-have-constitutional-right-unlimited-spending-their-own,for,d20140626
53,12,1,0,27,1,4,2,84,15,1,54,40,6,0,https://www.intelligencesquaredus.org/debates/death-not-final,against,d20140507
9,30,52,0,0,0,9,0,17,83,0,61,30,9,0,https://www.intelligencesquaredus.org/debates/millennials-dont-stand-chance,for,d20140409
57,14,0,14,14,0,0,0,71,14,14,71,29,0,0,https://www.intelligencesquaredus.org/debates/more-clicks-fewer-bricks-lecture-hall-obsolete,undecided,d20140402
0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,https://www.intelligencesquaredus.org/debates/russia-marginal-power,against,d20140312
50,0,25,0,0,0,0,25,50,50,0,75,0,25,0,https://www.intelligencesquaredus.org/debates/president-has-constitutional-power-target-and-kill-us-citizens-abroad,for,d20140305
0,56,34,0,0,0,0,9,0,100,0,34,56,9,0,https://www.intelligencesquaredus.org/debates/affirmative-action-campus-does-more-harm-good,for,d20140227
7,71,7,0,0,0,0,14,7,93,0,14,71,14,0,https://www.intelligencesquaredus.org/debates/snowden-was-justified,for,d20140212
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/obamacare-now-beyond-rescue,undecided,d20140115
34,7,1,0,49,0,7,0,91,9,0,36,57,7,0,https://www.intelligencesquaredus.org/debates/dont-eat-anything-face,against,d20131204
19,38,31,0,0,0,0,12,19,81,0,50,38,12,0,https://www.intelligencesquaredus.org/debates/spy-me-id-rather-be-safe,for,d20131120
75,5,0,0,17,0,2,1,94,6,0,75,22,2,0,https://www.intelligencesquaredus.org/debates/constitutional-right-bear-arms-has-outlived-its-usefulness,against,d20131114
0,50,0,0,50,0,0,0,50,50,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/let-anyone-take-job-anywhere,against,d20131030
22,33,22,0,0,0,0,22,22,78,0,44,33,22,0,https://www.intelligencesquaredus.org/debates/better-future-live-red-state,for,d20131018
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/break-big-banks,undecided,d20131016
0,50,0,0,0,0,50,0,50,50,0,0,50,50,0,https://www.intelligencesquaredus.org/debates/us-drone-program-fatally-flawed,against,d20130910
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/us-has-no-dog-fight-syria,undecided,d20130809
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/cutting-pentagons-budget-gift-our-enemies,undecided,d20130619
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/fdas-caution-hazardous-our-health,undecided,d20130508
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/gop-must-seize-center-or-die,undecided,d20130417
23,12,2,0,44,2,12,5,79,19,2,26,58,16,0,https://www.intelligencesquaredus.org/debates/abolish-minimum-wage,against,d20130403
0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,https://www.intelligencesquaredus.org/debates/america-doesnt-need-strong-dollar-policy,against,d20130313
52,0,0,0,38,0,8,0,98,0,2,52,38,10,2,https://www.intelligencesquaredus.org/debates/prohibit-genetically-engineered-babies,against,d20130213
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/israel-can-live-nuclear-iran,undecided,d20130116
38,14,3,1,28,0,10,4,75,22,3,42,42,16,1,https://www.intelligencesquaredus.org/debates/science-refutes-god,against,d20121205
19,11,0,0,60,0,8,2,87,13,0,19,71,10,0,https://www.intelligencesquaredus.org/debates/legalize-drugs,against,d20121114
75,25,0,0,0,0,0,0,75,25,0,75,25,0,0,https://www.intelligencesquaredus.org/debates/rich-are-taxed-enough,undecided,d20121024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/ration-end-life-care,undecided,d20121010
33,0,0,0,33,0,33,0,100,0,0,33,33,33,0,https://www.intelligencesquaredus.org/debates/better-elected-islamists-dictators,against,d20121004
50,0,50,0,0,0,0,0,50,50,0,100,0,0,0,https://www.intelligencesquaredus.org/debates/two-cheers-super-pacs-money-politics-still-overregulated,for,d20120912
