,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,d20191112,12.290765666666665,10.4172265,11.758551833333334,0.0,0.0,0.0,11.374913666666666,10.789892666666667,11.277310333333332,0.0,0.0,0.0,10.93799772,9.1779494,10.041153092000002,0.0,0.0,0.0,10.081104752,9.604710743999998,9.837835200000002,0.0,0.0,0.0,11.251450999999998,9.437037862499999,10.184532537499999,0.0,0.0,0.0,10.2448380625,9.881513937500001,10.232968375,0.0,0.0,0.0,against,against
1,d20191029,11.106866666666667,10.918764333333334,11.576630333333332,12.314642,0.0,0.0,10.2461775,9.806820666666667,12.130928333333332,10.548702666666667,0.0,0.0,10.306634113636363,10.003193909090909,10.327122045454546,11.402577704545454,0.0,0.0,9.39488144090909,9.021816750000001,11.079941295454548,9.880447431818178,0.0,0.0,10.391585277777779,10.351316666666667,10.608476,11.499206,0.0,0.0,9.276987055555557,8.92404038888889,10.983706833333335,9.9344555,0.0,0.0,against,for
2,d20191022,9.590426425,9.47608375,11.288881875000001,0.0,0.0,0.0,8.9537966,9.643654175,10.615291124999999,0.0,0.0,0.0,9.739777185714287,9.754923464285712,11.576898835714285,0.0,0.0,0.0,9.094202264285714,9.675415535714288,10.686137242857141,0.0,0.0,0.0,10.126889333333333,10.171768,11.966940833333332,0.0,0.0,0.0,9.342039333333334,9.900363166666667,11.024132,0.0,0.0,0.0,against,against
3,d20190917,11.781152333333333,11.830385166666666,10.951717666666667,10.026374166666665,0.0,0.0,10.986353333333334,9.082222666666667,10.069449,9.125852666666667,0.0,0.0,10.471882316666667,10.677133000000001,9.66883723,9.022227329999998,0.0,0.0,9.883629006666665,8.391025663333332,8.953156513333333,8.621635293333332,0.0,0.0,11.790107125,11.579099500000002,10.587225,9.563872125,0.0,0.0,10.5539895,8.774992125,9.530718499999999,8.78228475,0.0,0.0,against,against
4,d20190802,9.964135,9.344483050000001,10.2524695,0.0,0.0,0.0,9.465160775000001,10.418432,8.994835250000001,0.0,0.0,0.0,9.2387467,8.978253813953488,9.620785253488371,0.0,0.0,0.0,9.060687709302323,9.853782039534883,8.261060781395349,0.0,0.0,0.0,9.836884214285716,9.57964157142857,10.2711455,0.0,0.0,0.0,9.71614742857143,10.627398928571427,8.924226785714286,0.0,0.0,0.0,against,against
5,d20190628,10.432479333333333,10.668194999999999,10.114674666666668,12.212774999999999,0.0,0.0,9.981689833333332,10.319693333333333,11.2006325,10.337374333333333,0.0,0.0,8.908632882978724,9.197495710638298,8.734029761702127,10.887845689361702,0.0,0.0,8.700099119148934,8.893112987234042,9.538169938297871,8.691407502127657,0.0,0.0,9.08392373076923,9.303221523076921,8.762371069230769,10.889943692307693,0.0,0.0,8.83095003846154,9.042970784615385,9.447336961538461,8.632400407692309,0.0,0.0,for,against
6,d20190418,10.637913,9.712952666666666,10.718760000000001,0.0,0.0,0.0,10.107856,9.878592666666666,9.214646333333333,0.0,0.0,0.0,9.39053917368421,8.113691752631581,9.392526760526318,0.0,0.0,0.0,8.582110263157897,8.47717877368421,7.856123331578949,0.0,0.0,0.0,10.044533416666667,8.616909849999999,10.014763166666667,0.0,0.0,0.0,9.158942749999998,9.216921333333334,8.492295,0.0,0.0,0.0,against,against
8,d20190328,10.639329333333334,9.73798,12.173171666666667,10.708624,0.0,0.0,10.937764999999999,10.808591666666667,10.382808333333335,10.959552666666667,0.0,0.0,9.368911780645167,8.514968674193549,10.598608354838708,9.47539933548387,0.0,0.0,9.775421258064515,9.350387303225807,9.155863877419355,10.026231106451613,0.0,0.0,10.4223228,9.581641600000001,11.4284556,10.295451,0.0,0.0,10.532660199999999,10.520397400000002,9.9717398,10.529123199999999,0.0,0.0,for,for
9,d20190304,10.295759333333335,11.416750333333333,9.474406,0.0,0.0,0.0,10.228440999999998,10.545214666666666,10.814959,0.0,0.0,0.0,9.29860444117647,10.376564,8.857627452941175,0.0,0.0,0.0,9.452752764705883,9.695983635294118,9.999165676470588,0.0,0.0,0.0,9.6622444,10.8828912,9.300676399999999,0.0,0.0,0.0,9.794371200000002,10.107735600000002,10.5060065,0.0,0.0,0.0,against,for
10,d20190131,10.0475685,9.7004565,10.219399750000001,0.0,0.0,0.0,8.38629805,10.839558499999999,10.835711250000001,0.0,0.0,0.0,9.531431562162162,9.174770667567568,9.49508928918919,0.0,0.0,0.0,7.743280516216213,10.133965027027028,10.045623997297296,0.0,0.0,0.0,10.3129224,9.8862716,10.2469422,0.0,0.0,0.0,8.5690858,10.966251399999999,10.831413999999999,0.0,0.0,0.0,for,against
